F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0757057484009545,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.3147514702678333,36601.32563133491,700.9951929117155,43.468552159456856,456.1624650273247,-269419.4370612822,-202.00747615694925,53.12819886715571,-379.4138142847073,104191.58924150985
1.1952286093343938,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.3147514702678333,122689.51714472972,217.68706239545352,-24.252296295503807,127.49101842902827,-223336.88243768396,-95.40737426265596,-26.67797513573294,-179.19639147848915,134865.82739026163
0.7,0.0,0.0,0.0,1.1952286093343938,0.0,0.0,0.0,1.0757057484009545,-306258.1399843902,295.4668111751264,550.7374670105014,504.4998833027256,57852.46368332042,-42.409942143820565,846.3315872118682,-38.16755169178781,4210.13786715487
1.3147514702678333,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.1952286093343938,164120.02983338988,43.06438315128258,-46.005026501825434,22.928117987085386,-217927.8130251871,-131.206573932274,-41.82301324004383,-224.0315403332388,107327.33585913967
0.7,0.0,0.0,0.0,1.0757057484009545,0.0,0.0,0.0,1.1952286093343938,-310445.86905098933,411.12128513403013,480.3681027807839,631.7791489188629,4414.068161121434,-79.06099068888994,820.2146940302835,-87.84529670231773,44043.2359279433
1.0757057484009545,0.0,0.0,0.0,1.3147514702678333,0.0,0.0,0.0,0.7,56814.97365784031,-422.0442613932852,-317.4784059023059,-515.8321486485839,141947.38341991013,387.32773927339906,-206.59420048018933,206.22121235820768,-209199.22634911537
0.7,0.0,0.0,0.0,1.0757057484009545,0.0,0.0,0.0,1.3147514702678333,-276816.0458169327,237.7778568418514,308.7720194989898,365.3986244989949,32630.692960648834,64.57056725147498,579.9406985932397,78.9195845189713,101148.33422829166
1.0757057484009545,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.1952286093343938,7771.872004742466,976.2685307695044,93.269131028435,635.2923630131694,-301393.1114717865,-383.18546803216435,103.63239748062135,-654.2774269029893,47738.194759209335
1.3147514702678333,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0757057484009545,133698.8419760821,296.69015732244793,-2.00697183899592,157.96375213565386,-257671.72850433883,-320.5718802907537,-1.6420784512454256,-492.63006486297564,38006.26750926729
1.3147514702678333,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.3147514702678333,197259.033933046,-191.95145909651987,-87.97980991191743,-102.19881673857559,-178235.89342067848,-10.303063651347259,-87.9798100431865,-19.351437502854427,168054.59650007068
0.7,0.0,0.0,0.0,1.0757057484009545,0.0,0.0,0.0,1.0757057484009545,-345283.41805985477,621.9286786428208,702.6032292036097,955.7317215478793,-22421.043919788182,-298.583201153436,1079.706217054825,-298.58321113659724,-22444.24113167297
1.0757057484009545,0.0,0.0,0.0,1.0757057484009545,0.0,0.0,0.0,0.7,-4827.111679236098,60.333876279067034,-63.178047631234286,60.33389060772979,-2815.552553063813,-381.94376531673174,-41.11223623181747,-248.54445908387402,-267609.5907340244
0.7,0.0,0.0,0.0,1.3147514702678333,0.0,0.0,0.0,1.0757057484009545,-269151.96035513666,70.26144247908846,381.1015582234605,131.96623891720063,126186.09759132493,145.43388621949043,585.6471670581834,118.99148171000812,32095.30274058106
1.1952286093343938,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0757057484009545,63172.01687133134,746.1765322811075,67.43335243880786,437.007179963735,-294970.66486011364,-470.1431156227385,60.68990450449903,-722.4792689598554,9574.424681929337
1.1952286093343938,0.0,0.0,0.0,1.3147514702678333,0.0,0.0,0.0,0.7,142334.98109850474,-716.2298677580761,-571.8118824855995,-787.8528544976156,175727.77422020046,620.790542597425,-334.88850082391593,330.5213114337252,-169461.86304644292
0.7,0.0,0.0,0.0,1.1952286093343938,0.0,0.0,0.0,1.1952286093343938,-268180.88893369195,122.58437116639877,327.1172996052057,209.30907394381236,86044.67423988516,110.99196542008329,558.5427770592618,110.99197195601684,72359.16296535434
1.1952286093343938,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.1952286093343938,91917.16563960996,471.13885483350253,18.955787016323704,275.9281014572702,-258884.06458883215,-241.73214608889228,18.955769633697958,-412.75029784097006,76628.035232125
