F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1547005383792515,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.1547005383792515,74885.01511373906,-4.032325314280433,2098.585168547351,-2.619072114692812,-209528.16034484262,240.83394457232853,2098.5851685477433,370.78811394744815,62279.06806833264
1.1055864636343142,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.1055864636343142,-4380.146668626652,957.5280525028235,675.5056392405296,606.2570931046964,-362755.4047296043,267.0575612185762,675.5056445425515,421.79316800873505,-6205.513417969728
1.0680979980008076,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0680979980008076,-25447.618779875724,933.6500669245296,147.6689671349219,655.5929809037765,-286717.03126321174,226.77068036266522,147.66896716282386,322.9510785193157,-23697.112941693962
1.1952286093343938,0.0,0.0,0.0,1.1952286093343938,0.0,0.0,0.0,0.7,122758.22176658708,-952.387017765657,-255.65917698429226,-952.3870188982492,120843.0237691783,-802.1469963865557,-149.72986990783394,-469.78702993105725,-226208.53948640154
0.75,0.0,0.0,0.0,1.0680979980008076,0.0,0.0,0.0,1.0680979980008076,-291398.7241323198,1166.5899224952902,-3006.8780029880845,1661.3765013369953,-26459.267846030336,250.9347505237613,-4282.18716288922,250.93475302092958,-24406.447212783718
1.1952286093343938,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.1952286093343938,94766.47721263224,0.2521045403901398,2576.639111940513,0.14764810480988164,-282696.3265035481,235.37067098010309,2576.6391119634027,401.8882283102103,78707.13111105954
0.75,0.0,0.0,0.0,1.1547005383792515,0.0,0.0,0.0,1.1547005383792515,-213490.35558899396,559.6970658244533,-1500.830283096655,861.7100051293994,73082.12073149908,306.6036068189049,-2310.6793812029473,306.6036093200702,61977.31238244668
0.75,0.0,0.0,0.0,0.9814954576223637,0.0,0.0,0.0,0.9814954576223637,-366689.78621604666,1994.0672797909615,-5000.864515889717,2609.5573913196017,-137577.91169419934,242.81566751766044,-6544.433675724564,242.8156788151307,-120358.94003439018
1.1055864636343142,0.0,0.0,0.0,1.1055864636343142,0.0,0.0,0.0,0.7,18477.382290067773,-212.95683980594507,-2278.1726132076838,-212.95684231518828,17492.73282995116,-1071.2855211262363,-1442.4207151128023,-678.2824543201509,-300386.72092436854
0.7,0.0,0.0,0.0,1.1055864636343142,0.0,0.0,0.0,1.1055864636343142,-368465.74631305714,1191.6747225957117,-3202.492627626369,1882.1421208452991,-5856.3182143340855,342.35201478679335,-5058.046396399253,342.3520294400141,-7170.815603287068
0.7,0.0,0.0,0.0,1.1952286093343938,0.0,0.0,0.0,1.1952286093343938,-287432.3684452731,610.4773828336963,-1707.7550698676775,1042.371493452391,92559.92666398537,365.2252007072983,-2915.9395916500325,365.2252262734866,78291.19315889737
0.7,0.0,0.0,0.0,1.0159443179342347,0.0,0.0,0.0,1.0159443179342347,-446781.80596544145,1996.7490286799614,-5180.611219579956,2897.981009400679,-114607.4499957007,356.9819784494476,-7518.870362052312,356.9817914963469,-100999.72878898712
0.9814954576223637,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.9814954576223637,-137620.19742815773,2000.7469401986386,-2346.802848705824,1528.850977441059,-361028.82547371165,290.0380770769695,-2346.8029155620097,379.56120808498093,-119366.3778707668
1.0159443179342347,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0159443179342347,-114014.83100099221,2057.6199699946437,-1734.5162297268664,1417.7295690200144,-439739.2340502466,381.56684848387675,-1734.5162800103992,553.7859320907362,-99551.43908327704
1.2848707550344731,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.2848707550344731,188389.6773496355,-824.4515809336224,4136.897082422631,-449.1627717850976,-198157.53877656866,173.70058337363366,4136.897081345543,318.83257232321284,159371.1092141095
1.2413030787576953,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.2413030787576953,168717.20105837207,-814.1404245865101,3690.561849647742,-491.90671481637355,-128067.61098091392,224.62116701202675,3690.5618495948984,371.7639289282109,143020.04632812116
1.0159443179342347,0.0,0.0,0.0,1.0159443179342347,0.0,0.0,0.0,0.7,-93879.39314899831,834.5575987185517,-4830.447311999583,834.5576392518091,-93651.02423102176,-1205.4517982333975,-3328.246459659006,-830.5733997462438,-367617.7066117631
1.2848707550344731,0.0,0.0,0.0,1.2848707550344731,0.0,0.0,0.0,0.7,224457.54270866144,-1480.7312776963247,1383.7669323701707,-1480.7314659983133,221754.7322808916,-552.4455594882381,753.878829042752,-300.97339761880124,-143989.13103055436
0.7,0.0,0.0,0.0,1.2848707550344731,0.0,0.0,0.0,1.2848707550344731,-202334.2334232878,197.08375763108262,-556.6409582544366,361.75306569823124,185419.3526747494,354.7783194322225,-1021.7308993656019,354.7783056324469,159306.715970451
0.75,0.0,0.0,0.0,1.2413030787576953,0.0,0.0,0.0,1.2413030787576953,-131647.33930383893,121.18810254453291,-338.93465151996656,200.57488813684148,166142.5147899727,326.72497334651405,-560.9608212836083,326.7249819520236,143007.9966388306
1.3745129007345527,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.3745129007345527,279917.81660712376,-1481.7627034286174,5457.624415452572,-754.618864081148,-107313.94151788797,56.93813478111804,5457.624359469398,111.80135595364551,238774.82418970735
0.75,0.0,0.0,0.0,1.3279056191361391,0.0,0.0,0.0,1.3279056191361391,-43886.61871311716,-192.0702362941427,576.9608294746796,-340.0681950593754,256408.95255071868,293.00734480520316,1021.5327033227353,293.00734474017355,221923.93143493912
0.7,0.0,0.0,0.0,1.3745129007345527,0.0,0.0,0.0,1.3745129007345527,-111280.2147513049,-93.8944604938101,343.643987205262,-184.37021168160558,276144.1708806105,294.79793000397507,674.7758481935698,294.7979300114164,238862.9110931405
1.3745129007345527,0.0,0.0,0.0,1.3745129007345527,0.0,0.0,0.0,0.7,327009.21653610724,-1863.9911265508215,2754.009304203082,-1863.9911283808538,323606.429120935,-392.25915255219974,1402.5379550616628,-199.76633676321848,-52149.1685725952
1.0680979980008076,0.0,0.0,0.0,1.0680979980008076,0.0,0.0,0.0,0.75,-7624.428364483453,-0.3524574640748813,-2174.605801333369,-0.35245765012672137,-8217.891123136586,-854.9466684000632,-1526.9707027659524,-600.32881345553,-236937.46651003227
1.1547005383792515,0.0,0.0,0.0,1.1547005383792515,0.0,0.0,0.0,0.75,97503.07741224291,-791.6999493065841,-201.40003229544195,-791.6999495390062,95935.14144355826,-660.7138581333393,-130.813158191654,-429.1462395596766,-165024.63054495733
1.118033988749895,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,1.118033988749895,57310.296367062365,7.54624678382773,1643.8819641726848,5.400119712183015,-151838.6952394235,218.46856290702442,1643.8819190932788,305.31928431143285,47791.261950518565
0.9814954576223637,0.0,0.0,0.0,0.9814954576223637,0.0,0.0,0.0,0.75,-122927.73992339893,1088.0486140194548,-4636.6597186248255,1088.0485394216244,-122227.55031184884,-879.2718040800554,-3543.0572964006924,-671.8876017351874,-303275.4876236205
0.7999999999999999,0.0,0.0,0.0,1.118033988749895,0.0,0.0,0.0,1.118033988749895,-154928.97609414917,477.7274988255393,-1252.5133548290712,667.6444763556103,55890.83092320576,244.93586002290468,-1750.4406275886574,244.93586014913203,47570.40258305337
0.7999999999999999,0.0,0.0,0.0,1.0341814395936528,0.0,0.0,0.0,1.0341814395936528,-229207.82038697868,1101.8606872634414,-2753.9414536624613,1424.4048444438456,-45153.0984620803,158.79989379566462,-3560.09392084488,158.79989374533216,-40156.90408036465
1.0341814395936528,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,1.0341814395936528,-44601.97675256424,914.4960491452252,-359.2909582476421,707.4163308171113,-225615.0449393899,160.3322450462311,-359.2909583281065,207.26578971161246,-39664.33579365554
1.0341814395936528,0.0,0.0,0.0,1.0341814395936528,0.0,0.0,0.0,0.7999999999999999,-31523.270555901887,205.07267186351262,-2068.594473893541,205.072671850784,-31741.000974126815,-653.3368256336653,-1600.1791521948,-505.3943541479284,-186802.73354027187
1.3279056191361391,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.3279056191361391,259795.24069418918,-1466.095434276758,5038.359939478794,-828.0493181343892,-40392.514272683984,140.49607240314361,5038.360007730536,248.75349049703766,221816.97358866924
0.7999999999999999,0.0,0.0,0.0,0.9503288904374106,0.0,0.0,0.0,0.9503288904374106,-300836.8733398435,1943.1536905357787,-4736.567427961906,2308.29384573696,-158958.64454618795,129.2602733683397,-5626.620938454552,129.2602522010455,-138606.4796692575
1.118033988749895,0.0,0.0,0.0,1.118033988749895,0.0,0.0,0.0,0.7999999999999999,74950.50232362152,-630.8384367884794,-155.08398777870318,-630.8384367972806,73716.86919593427,-523.2370897348964,-110.96906844356783,-374.3979843402103,-117928.01210492494
0.9503288904374106,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.9503288904374106,-159647.86641510812,1937.5166762554968,-2942.039901826036,1631.0283435553642,-296564.0953545835,174.07393742079148,-2942.0399441532904,206.78427847935026,-138005.33385103446
1.2413030787576953,0.0,0.0,0.0,1.2413030787576953,0.0,0.0,0.0,0.75,198600.62242617965,-1361.4614942111205,1412.754329227991,-1361.4615655809607,196217.26478879506,-447.3725507369014,853.5914952035803,-270.30419330944653,-86168.68455155993
0.7999999999999999,0.0,0.0,0.0,1.201886537906137,0.0,0.0,0.0,1.201886537906137,-76739.86817647978,21.560624718375173,-89.17701909345416,32.391780443682485,149573.08517030344,294.22962193060124,-133.97582346818942,294.22962588497984,129061.84867729613
0.9503288904374106,0.0,0.0,0.0,0.9503288904374106,0.0,0.0,0.0,0.7999999999999999,-150133.8493269748,1329.522992158825,-4433.908942945721,1329.5229441445094,-148985.1195550746,-584.6098228622408,-3732.525885384544,-492.1327440680277,-251078.45540108052
1.201886537906137,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,1.201886537906137,151781.44873435708,-780.245030513136,3268.9018136688724,-519.346880917466,-73896.5082339896,244.5263289576411,3268.9018137308813,367.3661288998965,129058.30202400556
1.201886537906137,0.0,0.0,0.0,1.201886537906137,0.0,0.0,0.0,0.7999999999999999,175978.9636256807,-1239.6732876085566,1424.7800367630855,-1239.6733134243116,173905.1356572009,-345.1968015440261,948.3624248484131,-229.76998231025348,-42956.8978632344
1.285739087062379,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,1.285739087062379,242899.91943248088,-1421.1309787097844,4642.784496297769,-884.2420979573649,10206.078900706616,193.42033482382985,4642.784575693492,310.85992539029013,207742.08646036944
0.7999999999999999,0.0,0.0,0.0,1.285739087062379,0.0,0.0,0.0,1.285739087062379,7374.466486453058,-307.4424086570112,835.7885858637252,-494.1138023833894,239878.33494806665,284.15728082876075,1343.2580375825253,284.156987247154,207837.98760338928
0.85,0.0,0.0,0.0,1.0846522890932808,0.0,0.0,0.0,1.0846522890932808,-106962.61320252188,374.4064089091933,-970.748669515241,477.7656099774921,40363.173799841876,182.09825856211165,-1238.7350194416479,182.0982585694171,34509.00433255828
0.85,0.0,0.0,0.0,0.9219544457292886,0.0,0.0,0.0,0.9219544457292886,-245350.67281929395,1860.9811818532228,-4410.1033917959785,2018.5174718528965,-179310.26780962112,18.780657267808646,-4783.428721879316,18.780625467716252,-156203.66985546722
0.85,0.0,0.0,0.0,1.0033033674112848,0.0,0.0,0.0,1.0033033674112848,-177548.9294176439,1010.5780813821528,-2456.063133652551,1192.8428148520716,-62527.93339494489,67.97741302630898,-2899.0310735434346,67.9774128545446,-54938.66338407376
1.3279056191361391,0.0,0.0,0.0,1.3279056191361391,0.0,0.0,0.0,0.75,299638.41783237224,-1774.3420811009025,2777.6667061394432,-1774.3420820421463,296531.095459198,-302.5550651580714,1568.8238678997307,-170.8828517303466,1507.2918450448294
1.285739087062379,0.0,0.0,0.0,1.285739087062379,0.0,0.0,0.0,0.7999999999999999,276067.8681336993,-1681.3258617510562,2775.033473800058,-1681.3258621354457,273249.4378279954,-217.2115817029107,1726.6541877636162,-135.15126606306643,40156.481861413464
1.0846522890932808,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0846522890932808,41416.35930905728,19.174056956506696,1208.5901823997629,15.026055078218242,-104736.61407117156,176.77936427865643,1208.5901697654474,225.58136006562603,34668.26868776667
1.0033033674112848,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0033033674112848,-62432.13336304309,885.4782420038173,-848.8749625181575,750.1783908756918,-174988.4348073961,78.24929433986894,-848.8749625461869,92.3620946603779,-54631.23551107417
0.85,0.0,0.0,0.0,1.1660012107752769,0.0,0.0,0.0,1.1660012107752769,-32414.105689517615,-94.2161427665257,185.89882058210367,-129.24251393076045,135035.08099049487,259.2084836834393,255.0097054703248,259.2084883777783,116848.29325464135
1.0846522890932808,0.0,0.0,0.0,1.0846522890932808,0.0,0.0,0.0,0.85,54366.14480298049,-470.60121062913976,-113.99135697313356,-470.60126078663916,53455.173911016354,-387.3519705043976,-89.33053969952827,-303.55299741860085,-80354.09400411764
1.1660012107752769,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.1660012107752769,136902.27694877735,-739.0953158880766,2867.9497816094636,-538.791051609055,-30340.649025859657,241.03795153335346,2867.9497816546673,330.6476981428227,116848.29493671321
0.8999999999999999,0.0,0.0,0.0,1.0540925533894598,0.0,0.0,0.0,1.0540925533894598,-66435.99071482885,257.05377120794395,-663.43695349212,301.0649848223877,26067.420080983575,119.62289203800093,-777.0266167428373,119.62291046259257,22402.33191602848
1.0033033674112848,0.0,0.0,0.0,1.0033033674112848,0.0,0.0,0.0,0.85,-53887.23762756794,404.8367366045342,-1965.8536926222362,404.83673661719257,-53744.699601672284,-460.71240117882786,-1665.4739663471526,-390.3161833096427,-145974.38792311988
0.9219544457292886,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.9219544457292886,-180648.82614205137,1857.7172177350865,-3523.7722393983113,1712.7306383045407,-242345.6691984669,45.21361426056585,-3523.7722670728704,49.040998537182716,-155935.2475195816
0.9219544457292886,0.0,0.0,0.0,0.9219544457292886,0.0,0.0,0.0,0.85,-176107.67950580013,1558.794654960621,-4237.13662813719,1558.7946214280041,-174533.40322853316,-315.397312819655,-3906.4469842783237,-290.7819939063507,-207662.82286829554
0.85,0.0,0.0,0.0,1.2473501324572729,0.0,0.0,0.0,1.2473501324572729,48091.40033369373,-433.88222731983825,1113.3021139500881,-636.7098190803638,225782.06551852715,270.75127303339843,1633.7384849656687,270.7511842119907,195891.63470195682
